file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,229.961,1156.629,57.132,,,,,MainWindow initialized
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.097874,311.312,1194.359,10.135,,3.000000,off,monopolar,visible_channels=32; plotted_points=2048; read_window_s=0.0043; downsample_s=0.0047; plot_s=0.0879
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.093736,311.848,1194.898,98.711,,3.000000,off,monopolar,visible_channels=32; plotted_points=2048; read_window_s=0.0039; downsample_s=0.0029; plot_s=0.0864
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.110274,314.527,1197.555,82.757,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0075; downsample_s=0.0085; plot_s=0.0919
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.101767,316.387,1200.020,105.616,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0065; downsample_s=0.0082; plot_s=0.0857
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_open,0.718243,316.391,1200.020,0.000,,10.000000,macro=Off | Off | NOff; micro=Off | Off | NOff,monopolar,
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.109116,316.582,1200.020,70.798,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0065; downsample_s=0.0093; plot_s=0.0915
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.103543,316.582,1200.020,104.899,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0069; downsample_s=0.0075; plot_s=0.0875
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.095890,316.395,1199.547,95.754,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0055; downsample_s=0.0072; plot_s=0.0819
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.105041,316.598,1199.547,87.677,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0059; downsample_s=0.0069; plot_s=0.0909
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.104405,316.711,1199.547,104.058,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0062; downsample_s=0.0072; plot_s=0.0897
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.105877,316.910,1199.547,88.127,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0074; downsample_s=0.0073; plot_s=0.0898
