file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,234.367,1156.434,25.485,,,,,MainWindow initialized
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.112002,202.555,1192.695,3.987,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0053; downsample_s=0.0000; plot_s=0.1061
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.091052,203.324,1193.297,84.762,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0029; downsample_s=0.0000; plot_s=0.0878
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.105601,203.918,1193.438,105.098,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0040; downsample_s=0.0058; plot_s=0.0949
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_scroll_jump,0.093370,205.000,1194.539,99.052,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0030; downsample_s=0.0040; plot_s=0.0856
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_open,0.643264,205.039,1195.531,0.000,,10.000000,macro=Off | Off | NOff; micro=Off | Off | NOff,monopolar,
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.101762,205.793,1195.531,106.461,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0040; downsample_s=0.0041; plot_s=0.0927
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.101525,205.797,1195.531,106.992,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0030; downsample_s=0.0036; plot_s=0.0941
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.100402,205.805,1195.531,91.909,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0043; downsample_s=0.0056; plot_s=0.0895
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.097296,205.828,1195.531,109.398,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0032; downsample_s=0.0036; plot_s=0.0897
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.098553,205.840,1195.531,94.381,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0030; downsample_s=0.0037; plot_s=0.0911
