file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,234.414,1156.387,76.349,,,,,MainWindow initialized
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.100550,331.109,1207.547,9.798,,3.000000,off,monopolar,visible_channels=32; plotted_points=1536; read_window_s=0.0205; downsample_s=0.0000; plot_s=0.0795
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.086768,331.992,1208.406,107.172,,3.000000,off,monopolar,visible_channels=32; plotted_points=1536; read_window_s=0.0122; downsample_s=0.0000; plot_s=0.0743
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.107677,319.430,1196.801,85.880,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0225; downsample_s=0.0041; plot_s=0.0791
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.094746,320.230,1196.586,92.284,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0127; downsample_s=0.0036; plot_s=0.0766
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_open,1.167708,320.234,1197.578,189.419,,10.000000,macro=Off | Off | NOff; micro=Off | Off | NOff,monopolar,
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.100905,321.238,1197.578,91.901,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0169; downsample_s=0.0039; plot_s=0.0766
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.098867,321.250,1197.578,94.214,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0127; downsample_s=0.0035; plot_s=0.0806
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.097190,321.879,1198.207,90.455,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0121; downsample_s=0.0035; plot_s=0.0796
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.097609,320.820,1197.078,93.436,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0130; downsample_s=0.0034; plot_s=0.0793
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.099605,321.523,1197.707,93.265,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0122; downsample_s=0.0041; plot_s=0.0813
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.101468,321.152,1197.328,91.780,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0127; downsample_s=0.0039; plot_s=0.0828
